id,title,popularity,vote_average,vote_count,release_date,source,release_year,is_recent,popularity_log,is_popular
1523145,Your Heart Will Be Broken,1265.9022,7.0,33,2026-03-26,now_playing,2026,True,7.144329987128719,False
1171145,Crime 101,366.4443,6.997,390,2026-02-11,now_playing,2026,True,5.906571742539962,False
1115544,Mike & Nick & Nick & Alice,349.1562,6.777,148,2026-03-14,now_playing,2026,True,5.8583793406418945,False
1290821,Shelter,333.2818,6.761,468,2026-01-28,now_playing,2026,True,5.811984349826169,False
1327819,Hoppers,317.6156,7.574,377,2026-03-04,now_playing,2026,True,5.763985360495695,False
1226863,The Super Mario Galaxy Movie,298.654,7.0,165,2026-04-01,now_playing,2026,True,5.702628475722157,False
1297842,GOAT,291.6911,7.859,305,2026-02-11,now_playing,2026,True,5.679117786675934,False
1084187,Pretty Lethal,265.0209,6.963,200,2026-03-13,now_playing,2026,True,5.583574877123698,False
687163,Project Hail Mary,237.9095,8.184,958,2026-03-15,now_playing,2026,True,5.4760848191334315,False
1159559,Scream 7,230.4213,5.952,610,2026-02-25,now_playing,2026,True,5.444239858924419,False
840464,Greenland 2: Migration,223.2198,6.485,803,2026-01-07,now_playing,2026,True,5.412626820743959,False
875828,Peaky Blinders: The Immortal Man,129.9931,7.292,644,2026-03-05,now_playing,2026,True,4.87514465005822,False
1316092,"""Wuthering Heights""",124.9672,6.49,666,2026-02-11,now_playing,2026,True,4.836021555602689,False
662707,Starbright,157.3726,7.375,8,2026-02-27,now_playing,2026,True,5.064950484619615,False
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,113.9372,7.666,777,2025-07-18,now_playing,2025,True,4.744385892246941,False
999136,Do Not Enter,108.1413,5.32,50,2026-03-19,now_playing,2026,True,4.692643372993725,False
1193501,Whistle,104.9056,6.0,212,2026-01-20,now_playing,2026,True,4.662548131284802,False
1572073,The Deadly Little Mermaid,86.8257,4.563,24,2026-03-06,now_playing,2026,True,4.475354168515801,False
680493,Return to Silent Hill,93.4608,4.987,310,2026-01-21,now_playing,2026,True,4.548184933625417,False
1419406,The Shadow's Edge,84.3861,7.2,531,2025-08-16,now_playing,2025,True,4.447183324081071,False
83533,Avatar: Fire and Ash,544.8659,7.346,2256,2025-12-17,popular,2025,True,6.302373341183602,True
1268127,Humint,194.9911,7.2,33,2026-02-11,popular,2026,True,5.27806925003627,True
1265609,War Machine,206.8106,7.274,1297,2026-02-12,popular,2026,True,5.336627087951234,True
1198994,Send Help,149.7339,7.072,808,2026-01-22,popular,2026,True,5.0155160305671895,True
848116,Rocky Aur Rani Kii Prem Kahaani,148.1461,6.045,78,2023-07-28,popular,2023,True,5.004926362445908,True
879945,The Unknown Man,127.7632,8.5,2,2021-10-16,popular,2021,True,4.857975058560436,True
1084242,Zootopia 2,136.9413,7.602,2443,2025-11-26,popular,2025,True,4.926828232346151,True
502356,The Super Mario Bros. Movie,166.7073,7.587,10409,2023-04-05,popular,2023,True,5.122220197995053,True
